wave_number,fsc_nomask,fsc_loosemask,fsc_tightmask,fsc_noisesub_raw,fsc_noisesub_true,fsc_noisesub
0.5,1,1,1,1,nan,1
1.5,0.999942,0.999998,1,1,0,1
2.5,0.999914,0.999996,1,1,-inf,1
3.5,0.999881,0.999992,1,1,-1,1
4.5,0.99984,0.999987,0.999998,0.999998,-0.107143,0.999998
5.5,0.999561,0.99998,0.999994,0.999995,-0.078652,0.999994
6.5,0.999296,0.99997,0.999989,0.99999,-0.127273,0.999989
7.5,0.999257,0.999963,0.99999,0.99999,-0.011561,0.99999
8.5,0.999161,0.99995,0.99999,0.99999,0,0.99999
9.5,0.999017,0.999926,0.999988,0.999989,-0.010471,0.999988
10.5,0.998531,0.999883,0.999982,0.999981,0.041009,0.999982
11.5,0.997814,0.999838,0.999969,0.999967,0.034799,0.999969
12.5,0.996781,0.999745,0.999946,0.999945,0.015135,0.999946
13.5,0.995147,0.999586,0.999917,0.999918,-0.013768,0.999917
14.5,0.992382,0.999351,0.999878,0.99988,-0.013903,0.999878
15.5,0.987464,0.998939,0.999828,0.999831,-0.015146,0.999828
16.5,0.983144,0.998401,0.999767,0.999767,-0.000512,0.999767
17.5,0.979965,0.997821,0.999678,0.999679,-0.001671,0.999678
18.5,0.978597,0.997437,0.99957,0.999572,-0.00362,0.99957
19.5,0.975072,0.996732,0.999463,0.999459,0.006283,0.999463
20.5,0.971265,0.995983,0.999319,0.999317,0.003577,0.999319
21.5,0.967604,0.995626,0.999192,0.999188,0.00492,0.999192
22.5,0.964951,0.994984,0.998998,0.999006,-0.008455,0.998998
23.5,0.963348,0.994472,0.998834,0.998848,-0.012366,0.998834
24.5,0.960018,0.993435,0.998647,0.998668,-0.015524,0.998647
25.5,0.956142,0.992325,0.998453,0.998473,-0.013113,0.998453
26.5,0.948276,0.991165,0.998056,0.998065,-0.004497,0.998056
27.5,0.94012,0.989362,0.99749,0.997486,0.001849,0.99749
28.5,0.930509,0.987244,0.996679,0.996669,0.002917,0.996679
29.5,0.924722,0.985024,0.995636,0.99563,0.001309,0.995636
30.5,0.919894,0.982984,0.994624,0.994617,0.001362,0.994624
31.5,0.912335,0.980142,0.994033,0.994026,0.001267,0.994033
32.5,0.904741,0.978024,0.993472,0.993474,-0.000311,0.993472
33.5,0.906075,0.977705,0.992895,0.992905,-0.001428,0.992895
34.5,0.903855,0.976415,0.991792,0.991807,-0.001841,0.991792
35.5,0.899071,0.974186,0.990825,0.990827,-0.000279,0.990825
36.5,0.893981,0.97185,0.98997,0.989967,0.000297,0.98997
37.5,0.891934,0.96976,0.988937,0.988936,0.00007,0.988937
38.5,0.888165,0.96855,0.988137,0.988139,-0.000156,0.988137
39.5,0.888143,0.966816,0.987076,0.987103,-0.002024,0.987076
40.5,0.885356,0.964743,0.986058,0.986105,-0.003324,0.986058
41.5,0.88179,0.962291,0.984716,0.984756,-0.002612,0.984716
42.5,0.876627,0.958011,0.982785,0.98277,0.000827,0.982785
43.5,0.867238,0.953134,0.980515,0.980493,0.001088,0.980515
44.5,0.867282,0.95159,0.978655,0.978655,-0.000003,0.978655
45.5,0.867392,0.950166,0.977174,0.977201,-0.001213,0.977174
46.5,0.868532,0.949424,0.976337,0.976391,-0.002287,0.976337
47.5,0.870053,0.948469,0.975182,0.975259,-0.00312,0.975182
48.5,0.861987,0.945707,0.973613,0.973776,-0.006223,0.973613
49.5,0.852944,0.941408,0.971032,0.971244,-0.007385,0.971032
50.5,0.843759,0.935178,0.967473,0.96771,-0.007313,0.967473
51.5,0.837039,0.929405,0.963826,0.964011,-0.005134,0.963826
52.5,0.831243,0.924563,0.960376,0.960476,-0.002532,0.960376
53.5,0.82825,0.921667,0.957539,0.957529,0.000237,0.957539
54.5,0.826111,0.919338,0.954802,0.954779,0.000518,0.954802
55.5,0.821672,0.914818,0.951577,0.9516,-0.000478,0.951577
56.5,0.819417,0.912614,0.948337,0.948423,-0.001681,0.948337
57.5,0.812423,0.909518,0.945072,0.945171,-0.001805,0.945072
58.5,0.810324,0.907875,0.942979,0.943264,-0.005032,0.942979
59.5,0.808432,0.903433,0.940289,0.940797,-0.008573,0.940289
60.5,0.80614,0.89949,0.937745,0.93833,-0.009478,0.937745
61.5,0.795568,0.893164,0.933586,0.933902,-0.004782,0.933586
62.5,0.791125,0.889155,0.930091,0.930242,-0.002157,0.930091
63.5,0.784982,0.885868,0.92647,0.927147,-0.009287,0.92647
64.5,0.783643,0.886258,0.924789,0.926361,-0.021347,0.924789
65.5,0.785301,0.885867,0.922692,0.925426,-0.036662,0.922692
66.5,0.779759,0.883859,0.919896,0.924229,-0.057192,0.919896
67.5,0.77348,0.879212,0.91579,0.922473,-0.086211,0.91579
68.5,0.769408,0.87525,0.912537,0.921351,-0.112065,0.912537
69.5,0.764334,0.870845,0.909962,0.919238,-0.114851,0.909962
70.5,0.757792,0.868361,0.907591,0.914207,-0.077111,0.907591
71.5,0.752163,0.866183,0.905297,0.904316,0.010255,0.905297
72.5,0.746022,0.861008,0.901017,0.880562,0.171263,0.901017
73.5,0.736715,0.857492,0.897885,0.821532,0.427823,0.897885
74.5,0.727351,0.854926,0.894889,0.667377,0.683995,0.683995
75.5,0.72562,0.855043,0.894503,0.456638,0.805844,0.805844
76.5,0.717504,0.852943,0.893744,0.406995,0.820817,0.820817
77.5,0.702925,0.850511,0.893006,0.383234,0.826524,0.826524
78.5,0.701815,0.845859,0.89021,0.336539,0.83452,0.83452
79.5,0.684908,0.841977,0.887076,0.292973,0.840283,0.840283
80.5,0.666093,0.835231,0.879831,0.259149,0.837796,0.837796
81.5,0.637791,0.825278,0.871517,0.234361,0.832189,0.832189
82.5,0.597338,0.802451,0.858465,0.221596,0.818173,0.818173
83.5,0.543318,0.772496,0.842526,0.218444,0.798512,0.798512
84.5,0.48874,0.738261,0.821615,0.2081,0.774738,0.774738
85.5,0.405747,0.699759,0.796677,0.177227,0.75288,0.75288
86.5,0.326915,0.635349,0.759739,0.15068,0.717113,0.717113
87.5,0.228207,0.540704,0.708815,0.14313,0.660176,0.660176
88.5,0.125239,0.411828,0.632621,0.157131,0.564132,0.564132
89.5,0.076462,0.296141,0.534789,0.166588,0.4418,0.4418
90.5,0.052712,0.223064,0.435827,0.15974,0.328573,0.328573
91.5,0.031665,0.171437,0.358318,0.136086,0.257239,0.257239
92.5,0.01927,0.129692,0.304959,0.113041,0.216377,0.216377
93.5,0.017635,0.110561,0.256677,0.097002,0.176828,0.176828
94.5,0.011614,0.077576,0.211226,0.088305,0.134827,0.134827
95.5,-0.004744,0.037009,0.166611,0.077482,0.096615,0.096615
96.5,0.012946,0.024791,0.125591,0.068287,0.061504,0.061504
97.5,0.006702,0.021521,0.095547,0.058446,0.039405,0.039405
98.5,0.004531,0.021683,0.077225,0.053659,0.024902,0.024902
99.5,0.008443,0.020718,0.062547,0.052504,0.010599,0.010599
100.5,0.003844,0.023318,0.051195,0.052206,-0.001067,-0.001067
101.5,0.003031,0.02278,0.047797,0.049399,-0.001685,-0.001685
102.5,-0.001511,0.019094,0.044757,0.045315,-0.000585,-0.000585
103.5,-0.003866,0.013057,0.042878,0.040739,0.00223,0.00223
104.5,-0.004226,-0.000842,0.037876,0.041421,-0.003699,-0.003699
105.5,-0.002736,0.012739,0.042663,0.034697,0.008252,0.008252
106.5,0.006664,0.028172,0.039542,0.023998,0.015926,0.015926
107.5,0.007638,0.010755,0.035279,0.012116,0.023447,0.023447
108.5,-0.002014,0.004223,0.034303,0.012521,0.022058,0.022058
109.5,0.001184,0.013004,0.031584,0.014203,0.017631,0.017631
110.5,0.004181,0.008329,0.021562,0.007025,0.01464,0.01464
111.5,0.003314,-0.001844,0.014382,-0.006887,0.021124,0.021124
112.5,0.000425,-0.000823,0.003204,-0.017339,0.020193,0.020193
113.5,-0.000767,-0.003413,0.002013,-0.014677,0.016449,0.016449
114.5,-0.005409,-0.005085,0.008093,-0.01202,0.019874,0.019874
115.5,0.003302,0.00127,0.022463,-0.003978,0.026337,0.026337
116.5,0.006603,0.011073,0.031737,-0.000714,0.032429,0.032429
117.5,0.001364,0.012739,0.029606,-0.001211,0.03078,0.03078
118.5,0.003998,-0.002098,0.022583,-0.002986,0.025492,0.025492
119.5,-0.000269,-0.001253,0.017466,0.002749,0.014757,0.014757
120.5,0.000299,-0.001765,0.010285,0.004247,0.006063,0.006063
121.5,0.002962,-0.013774,-0.000038,0.007266,-0.007358,-0.007358
122.5,0.001543,-0.014426,-0.010474,0.006482,-0.017067,-0.017067
123.5,-0.002616,-0.001598,-0.011362,0.004887,-0.016329,-0.016329
124.5,-0.002846,-0.005254,-0.011565,0.003762,-0.015384,-0.015384
125.5,0.003921,-0.007749,-0.01101,0.003398,-0.014457,-0.014457
126.5,-0.002531,-0.013573,-0.008303,0.001917,-0.010239,-0.010239
127.5,0.001477,-0.006231,-0.008559,0.006145,-0.014794,-0.014794
128.5,0.001188,0.008418,-0.009825,0.001001,-0.010838,-0.010838
129.5,0.000838,0.007036,-0.013316,-0.004164,-0.009114,-0.009114
130.5,0.001705,-0.003462,-0.011904,-0.006526,-0.005343,-0.005343
131.5,0.000685,-0.006731,-0.010558,-0.004519,-0.006012,-0.006012
132.5,-0.000395,0.004468,-0.013468,-0.001426,-0.012024,-0.012024
133.5,-0.002422,0.008681,-0.017265,0.006571,-0.023994,-0.023994
134.5,0.000494,-0.007188,-0.017212,0.011879,-0.02944,-0.02944
135.5,0.002438,0.003545,-0.008565,0.013579,-0.02245,-0.02245
136.5,0.003133,0.006142,-0.004107,0.008399,-0.012612,-0.012612
137.5,-0.000921,-0.00166,0.004213,0.003246,0.00097,0.00097
138.5,0.000163,0.003574,0.009267,0.002846,0.006439,0.006439
139.5,0.004476,0.017672,0.009386,0.0054,0.004007,0.004007
140.5,-0.002427,0.009635,0.005494,0.007703,-0.002226,-0.002226
141.5,0.000162,0.004977,0.00109,0.007638,-0.006598,-0.006598
142.5,0.000526,0.002565,-0.002315,0.008251,-0.010655,-0.010655
143.5,0.002954,-0.007427,-0.00004,0.010065,-0.010207,-0.010207
144.5,0.000375,0.004764,0.005861,0.008878,-0.003044,-0.003044
145.5,0.002279,0.012952,0.00101,0.009508,-0.00858,-0.00858
146.5,-0.006438,-0.006827,-0.001668,0.012613,-0.014464,-0.014464
147.5,-0.003359,-0.007214,-0.000878,0.012554,-0.013603,-0.013603
148.5,0.003574,0.008217,0.000832,0.007311,-0.006527,-0.006527
149.5,0.000808,0.006584,-0.002807,0.002837,-0.00566,-0.00566
150.5,-0.000505,0.003592,-0.010604,0.010085,-0.0209,-0.0209
151.5,-0.003352,0.008371,-0.012704,0.010254,-0.023197,-0.023197
152.5,0.000909,0.016337,-0.008913,0.008468,-0.01753,-0.01753
153.5,0.000174,0.006784,-0.001026,-0.000594,-0.000432,-0.000432
154.5,0.001419,-0.00328,0.004176,-0.011401,0.015402,0.015402
155.5,0.001698,-0.005817,0.003844,-0.010269,0.01397,0.01397
156.5,-0.003043,0.003878,0.00404,-0.004726,0.008725,0.008725
157.5,-0.001147,0.00233,0.003989,0.003889,0.000101,0.000101